id,title,kind,category,address,neighborhood,rating,reviewCount,priceLabel,lat,lng,googleMapsUrl,googlePlaceId,source,active,tags
shiner-s-saloon-28ae9645,Shiner's Saloon,bar,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
ra-sushi-austin-4a041082,RA Sushi - Austin,restaurant,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
flow-at-the-one-luxury-iv-hydration-and-wellness-1835016c,Flow At The One Luxury IV Hydration & Wellness,wellness,"White Sage Integrative Wellness, Apothecary & Med Spa",,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
verbena-spa-79f6f100,Verbena Spa,civic,milk + honey | 2nd Street District,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-tox-austin-downtown-49acd5e5,The Tox Austin Downtown,property,The Monarch by Windsor Apartments,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
the-well-2nd-st-365d18ad,The Well - 2nd St,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
parlor-room-60ec8227,Parlor Room,venue,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
duke-s-adventure-golf-cef7ce20,Duke's Adventure Golf,experience,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
tennis-table-83ac4db7,Tennis table,bar,Bar Toti,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
lucille-patio-lounge-7442bc15,Lucille Patio Lounge,bar,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
sugarwolf-bakery-3e815f7a,Sugarwolf Bakery,cafe,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
swish-dental-downtown-861be1f0,Swish Dental Downtown,wellness,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
hanover-republic-square-f9314ff9,Hanover Republic Square,property,Rainey Street Historic District,"Austin, TX",Downtown Core,,,,,,,,google_maps_list_browser_extract,True,['needs-google-places-enrichment']
lvs-la-vie-med-spas-day-spa-4303a578,LVS La Vie Med Spas + Day Spa,wellness,Medical spa,,Downtown Core,4.2,112,,,,,,google_maps_list_browser_extract,True,['needs-address']
fat-rabbit-social-house-5d2b659e,Fat Rabbit Social House,restaurant,Brunch,,Downtown Core,4.5,141,$20–30,,,,,google_maps_list_browser_extract,True,['needs-address']
geraldine-s-91cb9123,Geraldine's,restaurant,Restaurant,,Downtown Core,4.6,2088,$20–80,,,,,google_maps_list_browser_extract,True,['needs-address']
lustre-pearl-rainey-5c0e9c29,Lustre Pearl Rainey,bar,Bar,,Rainey,4.2,485,$10–20,,,,,google_maps_list_browser_extract,True,['needs-address']
roost-rainey-06e3e736,ROOST Rainey,hotel,Hotel,,Rainey,4.7,41,,,,,,google_maps_list_browser_extract,True,['needs-address']
little-lucy-s-47aeeb7b,Little Lucy's,cafe,Donuts,,Downtown Core,4.2,349,$1–10,,,,,google_maps_list_browser_extract,True,['needs-address']
clive-efd8c61d,Clive,bar,Bar,,Downtown Core,4.3,648,$10–20,,,,,google_maps_list_browser_extract,True,['needs-address']
amaya-08d75d54,Amaya,restaurant,Mediterranean,,Downtown Core,4.2,48,$30–70,,,,,google_maps_list_browser_extract,True,['needs-address']
anthem-2f4bad6b,Anthem,venue,Asian Fusion,,Downtown Core,4.6,910,$20–30,,,,,google_maps_list_browser_extract,True,['needs-address']
victory-lap-rainey-ddfa8970,Victory Lap Rainey,bar,Sports bar,,Rainey,4.5,51,,,,,,google_maps_list_browser_extract,True,['needs-address']
little-brother-06940ac9,Little Brother,bar,Bar,,Downtown Core,4.5,153,$10–20,,,,,google_maps_list_browser_extract,True,['needs-address']
